Time,Range,Magnitude
223.566,124.0,4955.0
223.629,124.0,5012.0
223.692,123.0,5314.0
223.755,123.0,5662.0
223.818,123.0,5623.0
223.881,122.0,5651.0
223.944,122.0,5786.0
224.017,122.0,5863.0
224.08,122.0,5970.0
224.143,122.0,6023.0
224.206,122.0,6026.0
224.269,122.0,6016.0
224.332,122.0,6236.0
224.395,122.0,6483.0
224.458,157.0,6894.0
224.521,157.0,6760.0
224.584,157.0,6415.0
224.647,157.0,6362.0
224.71,158.0,6398.0
224.773,158.0,6306.0
224.836,121.0,5972.0
224.899,122.0,5613.0
224.962,122.0,4901.0
225.035,122.0,4640.0
225.098,123.0,4514.0
225.161,125.0,3678.0
225.224,124.0,3751.0
225.287,123.0,4209.0
225.35,125.0,3593.0
225.413,123.0,3969.0
225.476,123.0,4110.0
225.539,128.0,2920.0
225.602,125.0,2722.0
225.665,122.0,4173.0
225.728,125.0,3676.0
225.791,93.0,2693.0
225.854,127.0,2919.0
225.917,124.0,3678.0
225.98,123.0,4066.0
226.053,123.0,4099.0
226.116,122.0,3694.0
226.179,122.0,3865.0
226.242,121.0,3889.0
226.305,158.0,3827.0
226.368,158.0,3952.0
226.431,156.0,4858.0
226.494,155.0,6447.0
226.557,155.0,7429.0
226.62,155.0,7428.0
226.683,155.0,7459.0
226.746,155.0,7049.0
226.809,156.0,5722.0
226.872,157.0,4777.0
226.935,156.0,5302.0
227.009,156.0,6666.0
227.072,156.0,7724.0
227.135,156.0,8347.0
227.198,156.0,8492.0
227.261,156.0,8116.0
227.324,157.0,7765.0
227.387,157.0,7815.0
227.45,157.0,7799.0
227.513,157.0,7370.0
227.576,157.0,6598.0
227.639,157.0,6261.0
227.702,157.0,6031.0
227.765,156.0,6150.0
227.828,156.0,6206.0
227.891,156.0,6205.0
227.954,156.0,6039.0
228.027,156.0,6123.0
228.09,156.0,6301.0
228.153,156.0,6330.0
228.216,156.0,6267.0
228.279,155.0,5916.0
228.342,155.0,5411.0
228.405,155.0,4827.0
228.468,155.0,5138.0
228.531,189.0,5275.0
228.594,189.0,4992.0
228.657,189.0,4608.0
228.72,154.0,5167.0
228.783,156.0,6125.0
228.846,157.0,6585.0
228.909,121.0,5855.0
228.972,131.0,4080.0
229.043,91.0,6672.0
229.106,126.0,9230.0
229.169,91.0,4126.0
229.232,130.0,5876.0
229.295,127.0,8503.0
229.358,127.0,6819.0
229.421,123.0,5050.0
229.484,125.0,7033.0
229.547,123.0,6480.0
229.61,123.0,3147.0
229.673,127.0,9606.0
229.736,123.0,7998.0
229.799,123.0,8453.0
229.862,122.0,6623.0
229.925,95.0,2779.0
229.988,122.0,6281.0
230.061,221.0,2750.0
230.124,187.0,4038.0
230.187,156.0,6842.0
230.25,157.0,6729.0
230.313,186.0,4020.0
230.376,122.0,7428.0
230.439,187.0,4087.0
230.502,155.0,5691.0
230.565,125.0,4446.0
230.628,124.0,7863.0
230.691,188.0,6254.0
230.754,158.0,10926.0
230.817,157.0,10582.0
230.88,156.0,8973.0
230.943,156.0,8063.0
231.016,155.0,7040.0
231.079,189.0,5401.0
231.142,185.0,4521.0
231.205,185.0,4404.0
231.268,184.0,4015.0
231.331,188.0,4942.0
231.394,157.0,7296.0
231.457,122.0,7165.0
231.52,123.0,6590.0
231.583,123.0,8342.0
231.646,123.0,6797.0
231.709,156.0,6976.0
231.772,121.0,9446.0
231.835,156.0,6351.0
231.898,190.0,5157.0
231.961,122.0,8594.0
232.034,219.0,2798.0
232.097,158.0,7450.0
232.16,157.0,6580.0
232.223,155.0,5718.0
232.286,122.0,6618.0
232.349,129.0,5543.0
232.412,125.0,10076.0
232.475,437.0,2155.0
232.538,125.0,8621.0
232.601,126.0,6148.0
232.664,124.0,2864.0
232.727,125.0,5948.0
232.79,124.0,4846.0
232.853,124.0,3296.0
232.916,127.0,3791.0
232.979,128.0,4037.0
233.052,125.0,4168.0
233.115,122.0,4786.0
233.178,122.0,5313.0
233.241,122.0,4527.0
233.304,123.0,4663.0
233.367,123.0,4730.0
233.43,122.0,4450.0
233.493,122.0,3938.0
233.556,122.0,3168.0
233.619,124.0,2489.0
233.682,437.0,2423.0
233.745,437.0,2448.0
233.808,125.0,2485.0
233.871,122.0,3570.0
233.934,156.0,4112.0
234.007,156.0,4792.0
234.07,156.0,5347.0
234.133,156.0,5756.0
234.196,157.0,5929.0
234.259,156.0,5746.0
234.322,156.0,4876.0
234.385,156.0,3781.0
234.448,187.0,3310.0
234.511,187.0,3342.0
234.574,188.0,3607.0
234.637,156.0,3939.0
234.7,156.0,4149.0
234.763,156.0,4445.0
234.826,156.0,4765.0
234.889,156.0,5232.0
234.952,156.0,5620.0
235.026,156.0,5545.0
235.089,156.0,4905.0
235.152,189.0,3978.0
235.215,187.0,3540.0
235.278,185.0,3006.0
235.341,437.0,2825.0
235.404,437.0,2815.0
235.467,437.0,2804.0
235.53,437.0,2792.0
235.593,437.0,2802.0
235.656,437.0,2822.0
235.719,438.0,2819.0
235.782,438.0,2871.0
235.845,438.0,2860.0
235.908,438.0,2815.0
235.971,438.0,2794.0
236.042,438.0,2771.0
236.105,438.0,2752.0
236.168,438.0,2707.0
236.231,438.0,2674.0
236.294,438.0,2677.0
236.357,438.0,2674.0
236.42,438.0,2664.0
236.483,438.0,2687.0
236.546,438.0,2704.0
236.609,438.0,2748.0
236.672,438.0,2781.0
236.735,438.0,2790.0
236.798,125.0,2928.0
236.861,124.0,2942.0
236.924,122.0,3323.0
236.987,156.0,3414.0
237.06,156.0,3594.0
237.123,156.0,3745.0
237.186,155.0,3844.0
237.249,155.0,4012.0
237.312,155.0,4078.0
237.375,154.0,4156.0
237.438,155.0,4109.0
237.501,189.0,3959.0
237.564,189.0,3932.0
237.627,188.0,3945.0
237.69,188.0,4072.0
237.753,189.0,4191.0
237.816,189.0,4150.0
237.879,189.0,4161.0
237.942,189.0,4384.0
238.015,189.0,4493.0
238.078,189.0,4581.0
238.141,189.0,4571.0
238.204,189.0,4463.0
238.267,188.0,4438.0
238.33,188.0,4502.0
238.393,188.0,4557.0
238.456,188.0,4443.0
238.519,189.0,4474.0
238.582,189.0,4560.0
238.645,189.0,4547.0
238.708,189.0,4562.0
238.771,188.0,4478.0
238.834,188.0,4384.0
238.897,188.0,4236.0
238.96,187.0,3818.0
239.033,187.0,3772.0
239.096,187.0,3643.0
239.159,187.0,3703.0
239.223,188.0,3670.0
239.286,187.0,3236.0
239.349,438.0,2785.0
239.412,438.0,2772.0
239.475,438.0,2769.0
239.538,438.0,2777.0
239.601,438.0,2786.0
239.664,438.0,2799.0
239.727,438.0,2791.0
239.79,438.0,2765.0
239.853,438.0,2749.0
239.916,438.0,2747.0
239.979,438.0,2737.0
240.052,438.0,2739.0
240.115,438.0,2735.0
240.178,438.0,2738.0
240.241,438.0,2759.0
240.304,438.0,2768.0
240.367,438.0,2782.0
240.43,438.0,2799.0
240.493,438.0,2828.0
240.556,438.0,2838.0
240.619,438.0,2844.0
240.682,438.0,2851.0
240.745,438.0,2841.0
240.808,438.0,2830.0
240.871,438.0,2822.0
240.934,438.0,2810.0
241.007,438.0,2832.0
241.07,438.0,2836.0
241.133,187.0,2944.0
241.196,188.0,3092.0
241.259,186.0,3035.0
241.322,185.0,3103.0
241.385,185.0,3171.0
241.448,185.0,3341.0
241.511,186.0,3519.0
241.574,185.0,3479.0
241.637,184.0,3399.0
241.7,184.0,3326.0
241.763,184.0,3353.0
241.826,184.0,3432.0
241.889,184.0,3507.0
241.952,184.0,3531.0
242.026,185.0,3528.0
242.089,186.0,3399.0
242.152,186.0,3157.0
242.215,187.0,3435.0
242.278,188.0,3825.0
242.341,155.0,4775.0
242.404,155.0,5322.0
242.467,156.0,5217.0
242.53,155.0,4174.0
242.593,187.0,2886.0
242.656,438.0,2781.0
242.719,438.0,2804.0
242.782,438.0,2810.0
242.845,438.0,2808.0
242.908,438.0,2826.0
242.971,438.0,2817.0
243.044,438.0,2809.0
243.107,438.0,2813.0
243.17,438.0,2789.0
243.233,438.0,2761.0
243.296,438.0,2718.0
243.359,439.0,2761.0
243.422,439.0,2767.0
243.486,439.0,2786.0
243.549,438.0,2807.0
243.612,438.0,2821.0
243.675,438.0,2806.0
243.738,438.0,2756.0
243.801,438.0,2775.0
243.864,123.0,4771.0
243.927,123.0,6386.0
243.99,126.0,4935.0
244.061,127.0,7666.0
244.124,126.0,8505.0
244.187,127.0,5604.0
244.25,157.0,2919.0
244.313,122.0,4843.0
244.376,157.0,3901.0
244.439,124.0,6880.0
244.502,127.0,6361.0
244.565,128.0,8261.0
244.628,125.0,9443.0
244.691,127.0,6494.0
244.754,189.0,3330.0
244.817,126.0,4330.0
244.88,188.0,3476.0
244.943,122.0,6912.0
245.016,91.0,7204.0
245.079,125.0,8300.0
245.142,122.0,8012.0
245.205,121.0,7933.0
245.268,158.0,7397.0
245.331,158.0,7280.0
245.394,124.0,4161.0
245.457,157.0,7278.0
245.52,124.0,9468.0
245.583,122.0,6919.0
245.646,92.0,5010.0
245.709,155.0,5839.0
245.772,158.0,8311.0
245.835,158.0,8313.0
245.898,156.0,6213.0
245.961,157.0,7103.0
246.035,121.0,7349.0
246.098,123.0,8822.0
246.161,124.0,9316.0
246.224,124.0,7484.0
246.287,124.0,6810.0
246.35,125.0,9203.0
246.413,123.0,6572.0
246.476,123.0,5196.0
246.539,123.0,4802.0
246.602,123.0,4705.0
246.665,122.0,5179.0
246.728,122.0,5535.0
246.791,122.0,5610.0
246.854,122.0,5506.0
246.917,123.0,5917.0
246.98,123.0,6771.0
247.053,122.0,7407.0
247.116,122.0,8140.0
247.179,123.0,8559.0
247.242,123.0,8530.0
247.305,123.0,8369.0
247.368,123.0,8204.0
247.431,123.0,7646.0
247.494,124.0,6882.0
247.557,124.0,6930.0
247.62,124.0,7037.0
247.683,124.0,7206.0
247.746,124.0,7374.0
247.809,124.0,7462.0
247.872,124.0,7582.0
247.935,123.0,7879.0
248.008,123.0,8170.0
248.071,123.0,8473.0
248.134,123.0,8452.0
248.197,122.0,8141.0
248.26,122.0,7712.0
248.323,122.0,7082.0
248.386,122.0,6368.0
248.449,122.0,5510.0
248.512,124.0,4916.0
248.575,125.0,4472.0
248.638,126.0,4394.0
248.701,127.0,4470.0
248.764,129.0,4526.0
248.827,92.0,4658.0
248.89,92.0,4920.0
248.953,92.0,5050.0
249.026,93.0,5034.0
249.089,93.0,5235.0
249.152,93.0,5712.0
249.215,93.0,6190.0
249.279,93.0,6516.0
249.342,93.0,6499.0
249.405,92.0,6724.0
249.468,92.0,7123.0
249.531,91.0,7591.0
249.594,128.0,7855.0
249.657,127.0,8361.0
249.72,127.0,8674.0
249.783,127.0,8673.0
249.846,127.0,8688.0
249.909,127.0,8743.0
249.972,127.0,8676.0
250.046,127.0,8509.0
250.109,127.0,8266.0
