Time,Range,Magnitude
629.42,153.0,3524.0
629.483,154.0,3811.0
629.546,153.0,4235.0
629.61,154.0,3988.0
629.674,154.0,4078.0
629.737,154.0,4132.0
629.8,154.0,4151.0
629.863,154.0,4081.0
629.927,155.0,3694.0
630.0,155.0,3507.0
630.063,155.0,3431.0
630.126,154.0,3479.0
630.189,155.0,3286.0
630.252,155.0,3053.0
630.315,155.0,2989.0
630.378,155.0,3024.0
630.441,155.0,2958.0
630.504,155.0,2667.0
630.567,155.0,2697.0
630.63,152.0,2137.0
630.693,123.0,2599.0
630.756,125.0,2855.0
630.819,158.0,3583.0
630.882,153.0,2276.0
630.945,438.0,1888.0
631.019,125.0,3971.0
631.083,155.0,3143.0
631.148,123.0,5034.0
631.211,122.0,4863.0
631.275,156.0,3793.0
631.339,188.0,3126.0
631.403,62.0,2690.0
631.467,61.0,2961.0
631.531,155.0,3345.0
631.596,59.0,4055.0
631.662,155.0,3745.0
631.728,190.0,2793.0
631.791,152.0,2501.0
631.855,154.0,2067.0
631.918,60.0,1972.0
631.981,189.0,3021.0
632.054,154.0,2868.0
632.118,438.0,1915.0
632.182,438.0,1871.0
632.246,185.0,2020.0
632.31,438.0,1948.0
632.374,438.0,1955.0
632.438,158.0,3073.0
632.502,156.0,3300.0
632.566,155.0,3035.0
632.63,157.0,2253.0
632.694,120.0,1890.0
632.758,439.0,1861.0
632.822,439.0,1872.0
632.886,439.0,1865.0
632.95,438.0,1828.0
633.024,438.0,1798.0
633.088,120.0,1820.0
633.152,438.0,1787.0
633.216,438.0,1783.0
633.279,156.0,2098.0
633.342,155.0,2451.0
633.405,156.0,2192.0
633.468,157.0,1848.0
633.532,120.0,1854.0
633.596,156.0,2421.0
633.66,156.0,3150.0
633.723,155.0,3764.0
633.787,156.0,2503.0
633.851,156.0,1922.0
633.915,156.0,2604.0
633.979,156.0,2944.0
634.052,155.0,2805.0
634.116,154.0,2794.0
634.18,154.0,3089.0
634.244,154.0,3613.0
634.308,153.0,3531.0
634.372,153.0,3020.0
634.436,152.0,2873.0
634.5,153.0,3033.0
634.563,153.0,3361.0
634.626,153.0,3311.0
634.689,153.0,3251.0
634.752,153.0,3448.0
634.816,153.0,3655.0
634.88,153.0,3503.0
634.944,153.0,3278.0
635.017,152.0,3127.0
635.081,152.0,3314.0
635.145,152.0,3278.0
635.209,152.0,3188.0
635.273,152.0,3286.0
635.336,152.0,3474.0
635.399,152.0,3413.0
635.462,190.0,3248.0
635.525,190.0,2935.0
635.588,190.0,2762.0
635.652,190.0,2667.0
635.716,189.0,2330.0
635.78,188.0,1909.0
635.843,438.0,1888.0
635.906,438.0,1888.0
635.97,439.0,1873.0
636.043,439.0,1859.0
636.106,439.0,1852.0
636.17,439.0,1864.0
636.234,439.0,1865.0
636.298,439.0,1865.0
636.361,439.0,1874.0
636.425,439.0,1880.0
636.489,439.0,1879.0
636.553,439.0,1874.0
636.617,438.0,1866.0
636.681,438.0,1872.0
636.745,438.0,1876.0
636.809,438.0,1883.0
636.873,154.0,1998.0
636.937,154.0,2343.0
637.008,155.0,2810.0
637.072,154.0,2443.0
637.136,155.0,2692.0
637.2,437.0,1968.0
637.263,155.0,3340.0
637.326,155.0,2684.0
637.391,153.0,3334.0
637.453,437.0,2053.0
637.518,154.0,2881.0
637.583,188.0,2823.0
637.648,189.0,2693.0
637.711,188.0,2294.0
637.775,152.0,3719.0
637.839,439.0,1804.0
637.903,438.0,1787.0
637.967,438.0,1773.0
638.041,157.0,2458.0
638.104,153.0,2777.0
638.168,438.0,1857.0
638.231,155.0,3509.0
638.295,154.0,4683.0
638.359,154.0,4815.0
638.423,154.0,4863.0
638.486,154.0,4469.0
638.55,155.0,4256.0
638.613,154.0,4241.0
638.676,155.0,3932.0
638.739,156.0,3064.0
638.803,121.0,2249.0
638.866,437.0,1944.0
638.93,155.0,2028.0
639.004,155.0,3385.0
639.068,156.0,3909.0
639.132,437.0,2040.0
639.195,438.0,1943.0
639.259,153.0,2966.0
639.323,184.0,2074.0
639.387,437.0,1843.0
639.453,156.0,2884.0
639.516,153.0,3145.0
639.579,437.0,1656.0
639.643,188.0,2875.0
639.706,438.0,1740.0
639.769,437.0,1668.0
639.833,437.0,1701.0
639.897,156.0,1744.0
639.96,437.0,1657.0
640.032,437.0,1605.0
640.095,154.0,2094.0
640.158,154.0,3210.0
640.222,154.0,4444.0
640.286,155.0,5171.0
640.35,155.0,5538.0
640.414,155.0,5204.0
640.478,155.0,4984.0
640.542,155.0,5034.0
640.606,155.0,4892.0
640.67,155.0,4560.0
640.734,155.0,3697.0
640.798,189.0,1946.0
640.862,437.0,1764.0
640.926,186.0,1994.0
641.0,437.0,1653.0
641.064,155.0,3392.0
641.128,156.0,2950.0
641.192,121.0,2242.0
641.255,122.0,2096.0
641.318,124.0,1775.0
641.382,124.0,1898.0
641.445,124.0,2198.0
641.508,123.0,2514.0
641.572,122.0,2840.0
641.636,157.0,2958.0
641.7,156.0,3239.0
641.764,156.0,3190.0
641.828,121.0,2622.0
641.892,157.0,2723.0
641.956,156.0,2925.0
642.029,156.0,2748.0
642.093,157.0,2099.0
642.157,120.0,1829.0
642.221,120.0,1938.0
642.285,120.0,2024.0
642.349,121.0,1719.0
642.413,437.0,1716.0
642.476,119.0,1832.0
642.539,117.0,2059.0
642.602,116.0,2131.0
642.665,117.0,2106.0
642.728,116.0,2403.0
642.791,159.0,3006.0
642.855,158.0,3514.0
642.919,158.0,3609.0
642.982,158.0,3716.0
643.055,158.0,3917.0
643.119,157.0,3916.0
643.182,157.0,3764.0
643.246,158.0,3354.0
643.31,158.0,3290.0
643.373,159.0,3397.0
643.436,159.0,3439.0
643.5,159.0,3850.0
643.564,159.0,4085.0
643.627,158.0,3990.0
643.69,158.0,3875.0
643.754,158.0,3727.0
643.817,157.0,4080.0
643.88,157.0,4395.0
643.943,157.0,4422.0
644.014,157.0,4467.0
644.078,156.0,4778.0
644.141,155.0,5073.0
644.204,155.0,5063.0
644.268,155.0,4887.0
644.331,155.0,4936.0
644.395,155.0,5310.0
644.459,155.0,5605.0
644.523,155.0,5532.0
644.587,155.0,5761.0
644.651,155.0,5994.0
644.715,154.0,6254.0
644.779,154.0,6254.0
644.843,154.0,6175.0
644.907,154.0,6277.0
644.971,154.0,6317.0
645.044,154.0,6119.0
645.108,154.0,6311.0
645.172,154.0,6126.0
645.236,154.0,6047.0
645.299,154.0,5771.0
645.362,154.0,5289.0
645.425,154.0,6483.0
645.488,190.0,5181.0
645.551,156.0,7110.0
645.615,154.0,5332.0
645.679,123.0,8813.0
645.742,125.0,4483.0
645.805,189.0,4196.0
645.869,155.0,5295.0
645.932,156.0,5023.0
646.005,156.0,4804.0
646.069,158.0,5716.0
646.133,123.0,6632.0
646.197,123.0,6040.0
646.261,189.0,3550.0
646.325,188.0,3264.0
646.389,156.0,6388.0
646.455,153.0,5637.0
646.519,187.0,4466.0
646.583,189.0,4916.0
646.647,154.0,6111.0
646.711,153.0,5732.0
646.775,155.0,7225.0
646.838,156.0,7444.0
646.902,155.0,5757.0
646.966,190.0,4080.0
647.04,188.0,3583.0
647.104,153.0,3832.0
647.168,155.0,4872.0
647.231,155.0,5003.0
647.295,155.0,5015.0
647.358,155.0,5221.0
647.422,155.0,5319.0
647.486,155.0,5315.0
647.55,155.0,5515.0
647.614,155.0,6124.0
647.678,155.0,6447.0
647.742,155.0,6884.0
647.806,155.0,6553.0
647.87,155.0,6731.0
647.933,155.0,6767.0
648.005,155.0,6815.0
648.068,156.0,6894.0
648.131,156.0,6840.0
648.195,156.0,6683.0
648.259,155.0,6151.0
648.323,155.0,5718.0
648.387,156.0,5631.0
648.451,156.0,5570.0
648.515,156.0,5476.0
648.579,156.0,5359.0
648.643,156.0,5450.0
648.707,156.0,5689.0
648.771,156.0,5856.0
648.835,156.0,5928.0
648.899,156.0,5916.0
648.963,157.0,6124.0
649.037,157.0,6242.0
649.101,157.0,6266.0
649.165,156.0,6178.0
649.228,156.0,5882.0
649.291,156.0,5891.0
649.354,156.0,6124.0
649.417,156.0,6441.0
649.481,156.0,6429.0
649.544,156.0,6474.0
649.608,156.0,6738.0
649.672,156.0,6803.0
649.736,155.0,6542.0
649.8,155.0,6393.0
649.864,155.0,6059.0
649.928,154.0,5612.0
650.001,154.0,5399.0
650.065,154.0,5530.0
650.129,154.0,6043.0
650.193,155.0,6425.0
650.257,155.0,6824.0
650.321,155.0,7110.0
650.385,155.0,7398.0
650.449,155.0,7220.0
650.512,156.0,6887.0
650.575,156.0,6571.0
650.638,156.0,6275.0
650.702,156.0,5744.0
650.765,156.0,4839.0
650.828,157.0,3928.0
650.892,123.0,3262.0
650.956,189.0,3272.0
651.03,190.0,3542.0
651.094,155.0,3815.0
651.158,126.0,3242.0
651.222,122.0,5597.0
651.286,123.0,4448.0
651.35,124.0,4345.0
651.414,124.0,3952.0
651.478,124.0,5019.0
651.541,127.0,3976.0
651.606,122.0,5469.0
651.671,189.0,4741.0
651.735,59.0,2566.0
651.799,94.0,2785.0
651.863,125.0,3982.0
651.926,185.0,2573.0
651.989,62.0,2400.0
652.06,126.0,2494.0
652.123,123.0,3584.0
652.187,122.0,4048.0
652.251,156.0,4354.0
652.315,154.0,4302.0
652.379,189.0,4337.0
652.443,188.0,4066.0
652.507,188.0,3618.0
652.571,187.0,3056.0
652.635,189.0,3008.0
652.699,154.0,3085.0
652.763,189.0,3134.0
652.827,189.0,2992.0
652.891,189.0,2633.0
652.955,189.0,2144.0
653.028,153.0,2486.0
653.092,190.0,3672.0
653.156,188.0,3934.0
653.219,188.0,2858.0
653.282,437.0,1954.0
653.346,437.0,1934.0
653.409,122.0,2817.0
653.472,122.0,3545.0
653.536,156.0,6403.0
653.6,157.0,5519.0
653.663,156.0,6743.0
653.726,124.0,3661.0
653.79,122.0,4218.0
653.854,60.0,2344.0
653.918,59.0,2372.0
653.982,187.0,2683.0
654.056,123.0,2851.0
654.12,123.0,3944.0
654.183,126.0,3546.0
654.246,94.0,2850.0
654.31,96.0,2719.0
654.373,60.0,2541.0
654.436,186.0,3501.0
654.5,189.0,4189.0
654.563,154.0,4636.0
654.626,154.0,5006.0
654.689,190.0,4981.0
654.752,189.0,4820.0
654.815,189.0,4496.0
654.878,188.0,4028.0
654.941,188.0,3493.0
655.014,188.0,3345.0
655.077,188.0,3397.0
655.14,187.0,3239.0
655.203,187.0,3070.0
655.266,187.0,2920.0
655.329,187.0,2828.0
655.392,185.0,2647.0
655.455,184.0,2551.0
655.519,185.0,2823.0
655.583,186.0,2940.0
655.647,188.0,3475.0
655.711,189.0,3980.0
655.775,190.0,4440.0
655.838,154.0,4818.0
655.901,154.0,5225.0
655.964,155.0,5535.0
656.036,155.0,6148.0
656.1,156.0,6641.0
656.164,156.0,7009.0
656.227,156.0,7184.0
656.29,156.0,7215.0
656.353,156.0,7295.0
656.416,156.0,7474.0
656.479,157.0,7088.0
656.543,157.0,7469.0
656.607,157.0,7225.0
656.671,157.0,7104.0
656.735,157.0,7244.0
656.799,158.0,7270.0
656.863,121.0,7362.0
656.927,157.0,4919.0
657.001,188.0,3101.0
657.065,190.0,3826.0
657.128,189.0,3172.0
657.192,155.0,3997.0
657.257,154.0,4203.0
657.322,156.0,4711.0
657.387,157.0,4633.0
657.45,125.0,3865.0
657.513,124.0,5416.0
657.577,188.0,3463.0
657.641,189.0,3646.0
657.705,121.0,4783.0
657.769,121.0,5067.0
657.833,121.0,4800.0
657.897,156.0,4113.0
657.961,187.0,2853.0
658.034,189.0,3465.0
658.098,122.0,5543.0
658.161,185.0,2956.0
658.227,188.0,3682.0
658.293,157.0,5966.0
658.358,154.0,4816.0
658.421,154.0,5147.0
658.484,188.0,4164.0
658.547,155.0,4571.0
658.61,156.0,6139.0
658.674,156.0,5245.0
658.738,186.0,2862.0
658.802,189.0,3448.0
658.866,156.0,5186.0
658.93,157.0,6922.0
659.002,157.0,7724.0
659.066,158.0,8222.0
659.13,158.0,8501.0
659.194,158.0,8597.0
659.258,157.0,8393.0
659.322,157.0,8216.0
659.386,157.0,8104.0
659.45,158.0,7800.0
659.514,157.0,8119.0
659.578,158.0,7883.0
659.642,158.0,7845.0
659.706,158.0,7832.0
659.769,158.0,7742.0
659.832,158.0,7316.0
659.895,158.0,6802.0
659.958,158.0,6426.0
660.032,157.0,6030.0
660.096,157.0,5538.0
660.16,157.0,4968.0
660.224,156.0,4555.0
660.288,156.0,4161.0
660.352,155.0,3625.0
660.416,154.0,3168.0
660.48,190.0,2802.0
660.544,189.0,2690.0
660.608,153.0,2530.0
660.671,154.0,2708.0
660.735,155.0,3022.0
660.799,155.0,3381.0
660.863,154.0,3792.0
660.927,154.0,4057.0
661.0,153.0,4097.0
661.064,190.0,3976.0
661.127,189.0,3795.0
661.19,189.0,3636.0
661.253,190.0,4112.0
661.316,154.0,4549.0
661.38,156.0,4919.0
661.444,157.0,5138.0
661.508,157.0,5517.0
661.572,157.0,5916.0
661.636,157.0,6128.0
661.699,158.0,6062.0
661.763,158.0,6054.0
661.827,158.0,6141.0
661.891,158.0,6218.0
661.955,122.0,6080.0
662.029,122.0,5800.0
662.093,122.0,5729.0
662.157,122.0,5538.0
662.221,123.0,4656.0
662.285,124.0,3947.0
662.349,157.0,6219.0
662.412,157.0,5787.0
662.475,122.0,5070.0
662.538,122.0,4874.0
662.601,189.0,2524.0
662.667,122.0,4859.0
662.732,94.0,2643.0
662.796,128.0,3266.0
662.86,125.0,3187.0
662.924,124.0,3876.0
662.988,128.0,2641.0
663.062,124.0,2449.0
663.126,156.0,3851.0
663.19,155.0,5629.0
663.254,188.0,3330.0
663.318,190.0,4102.0
663.382,190.0,4673.0
663.446,438.0,1203.0
663.51,155.0,6383.0
663.574,154.0,4629.0
663.638,221.0,2400.0
663.701,156.0,6599.0
663.764,154.0,5172.0
663.827,127.0,2380.0
663.89,125.0,3316.0
663.954,127.0,2734.0
664.027,124.0,3595.0
664.091,157.0,4009.0
664.155,155.0,3209.0
664.219,223.0,1937.0
664.283,188.0,2707.0
664.347,156.0,2455.0
664.412,183.0,1867.0
664.476,187.0,3556.0
664.542,436.0,1638.0
664.606,188.0,3340.0
664.67,156.0,2493.0
664.733,438.0,1509.0
664.797,155.0,2537.0
664.86,155.0,3534.0
664.924,189.0,2442.0
664.988,157.0,2297.0
665.061,154.0,5562.0
665.124,154.0,3133.0
665.187,190.0,3178.0
665.251,153.0,3838.0
665.315,158.0,3287.0
665.379,123.0,2428.0
665.443,123.0,2578.0
665.507,60.0,2035.0
665.571,62.0,2109.0
665.635,62.0,2172.0
665.699,62.0,2252.0
665.762,61.0,2343.0
665.826,59.0,2402.0
665.89,123.0,3186.0
665.954,156.0,4296.0
666.028,156.0,5634.0
666.092,156.0,6267.0
666.156,157.0,5853.0
666.22,158.0,4701.0
666.284,123.0,3220.0
666.347,126.0,2454.0
666.41,126.0,2323.0
666.473,124.0,2423.0
666.537,126.0,2506.0
666.6,127.0,2457.0
666.663,93.0,2172.0
666.726,94.0,2088.0
666.789,93.0,2244.0
666.852,128.0,2712.0
666.916,125.0,3341.0
666.98,123.0,3901.0
667.051,123.0,4139.0
667.115,123.0,4151.0
667.179,122.0,4225.0
667.243,122.0,4464.0
667.307,123.0,4608.0
667.371,123.0,5255.0
667.435,122.0,4887.0
667.499,154.0,2683.0
667.563,155.0,2575.0
667.627,155.0,2924.0
667.69,155.0,3033.0
667.754,156.0,3648.0
667.819,92.0,2535.0
667.884,127.0,5720.0
667.95,127.0,3021.0
668.023,185.0,2235.0
668.087,126.0,3339.0
668.151,189.0,3308.0
668.215,189.0,3833.0
668.279,188.0,3773.0
668.343,186.0,3183.0
668.407,185.0,2736.0
668.471,184.0,2778.0
668.535,185.0,3079.0
668.599,156.0,4033.0
668.665,121.0,4597.0
668.731,155.0,3118.0
668.797,185.0,1801.0
668.861,153.0,2940.0
668.925,189.0,2689.0
668.988,155.0,3040.0
669.061,189.0,2420.0
669.124,190.0,2776.0
669.188,155.0,3281.0
669.252,94.0,2451.0
669.316,95.0,2126.0
669.38,437.0,1879.0
669.443,438.0,1854.0
669.506,438.0,1835.0
669.57,59.0,1880.0
669.634,437.0,1830.0
669.698,186.0,1876.0
669.761,437.0,1800.0
669.825,437.0,1800.0
669.889,437.0,1809.0
669.953,438.0,1800.0
670.026,438.0,1776.0
670.09,185.0,1795.0
670.154,184.0,1791.0
670.218,185.0,1902.0
670.281,187.0,1733.0
670.344,187.0,1923.0
670.407,187.0,2235.0
670.47,188.0,2295.0
670.534,190.0,2291.0
670.598,190.0,2292.0
670.662,189.0,2493.0
670.726,189.0,2516.0
670.789,188.0,2310.0
670.853,187.0,2004.0
670.917,185.0,1763.0
670.981,183.0,1747.0
671.055,61.0,1921.0
671.119,60.0,2117.0
671.183,59.0,2257.0
671.247,58.0,2380.0
671.311,58.0,2403.0
671.374,58.0,2411.0
671.438,58.0,2437.0
671.502,93.0,2753.0
671.565,95.0,2478.0
671.628,156.0,4212.0
671.691,123.0,4799.0
671.754,122.0,5824.0
671.817,95.0,2454.0
671.88,94.0,2621.0
671.944,123.0,3362.0
672.018,156.0,3144.0
672.082,59.0,2290.0
672.146,154.0,6201.0
672.21,186.0,4493.0
672.274,188.0,4736.0
672.338,189.0,3934.0
672.401,189.0,4732.0
672.465,188.0,3943.0
672.529,439.0,1982.0
672.593,222.0,2144.0
672.657,154.0,2808.0
672.721,154.0,3448.0
672.785,155.0,2931.0
672.849,158.0,2446.0
672.913,159.0,2852.0
672.976,159.0,3238.0
673.048,158.0,3670.0
673.111,157.0,3863.0
673.174,156.0,3842.0
673.238,156.0,3725.0
673.302,155.0,3384.0
673.366,153.0,3658.0
673.43,190.0,4284.0
673.494,189.0,4906.0
673.558,189.0,5583.0
673.622,188.0,2325.0
673.686,187.0,4360.0
